"Station.label" "Season" "Season.moment" "Depth" "Marine.biome" "Ocean.region" "Biogeographical.province" "Latitude" "Longitude" "Depth.nominal" "Depth.top.min" "Depth.bottom.max" "HCO3" "CO3" "Carbon.total" "Alkalinity.total" "Calcite.saturation.state" "Aragonite.saturation.state" "NO2" "PO4" "NO2NO3" "Si" "NO3" "Temperature" "Salinity" "Density" "Oxygen" "ChlorophyllA" "Ang.scat.coef.470nm" "Opt.backscat.coef.470nm" "Part.backscat.coef" "Fluorescence" "Opt.beam.att.coef.660nm" "Part.beam.att.coef" "PAR.TO" "Ice.free.period" "Moon.phase.prop" "Sunshine.duration" "Iron.5m" "Ammonium.5m" "NO2.5m" "NO3.5m" "Gradient.Surface.temp.SST." "Okubo.Weiss" "Lyapunov" "Residence.time" "acCDOM" "Depth.euph.zone" "Depth.Mixed.Layer" "Depth.chloro.max" "Depth.max.Brunt.Väisälä" "Depth.Max.O2" "Depth.Min.O2" "Depth.nitracline" "Carbon.flux" "DepthBathy" "Coast_Distance"
"TARA_009_DCM" "TARA_009" "autumn" "autumn_early" "DCM" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 39.0609 5.9422 55 50 60 0.0071 0.0169 0.0067 0.002 0.0025 8e-04 NA NA NA NA NA 15.9708 37.68195 27.81605 NA 0.442902 NA NA NA NA NA NA 1.233359 365 0.71 714 0.00138772993038098 0.015086658919851 0.0487093214566509 0.0167545103468001 0.35542 0.021447 0.190651 0 0.0105669880285859 89.5312423706055 25 56 25 NA NA NA NA -2913 156.9683
"TARA_009_SRF" "TARA_009" "autumn" "autumn_early" "SRF" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 39.1633 5.916 9 3 15 0 3e-04 3e-04 0 0 0 NA NA NA NA NA 24.4828 37.8042 25.621 NA 0.136232 NA NA NA NA NA NA 19.939398 365 0.71 714 0.00138772993038098 0.015086658919851 0.0487093214566509 0.0167545103468001 0.95289 0.021447 0.190651 0 0.0107669080607593 91.0887298583984 25 54 35 NA NA NA NA -2913 156.9683
"TARA_009_ZZZ" "TARA_009" "autumn" "autumn_early" "ZZZ" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 39.0832 5.8308 105 0 200 0.00395 0.0119 0.00455 0.0012 6e-04 0.00035 NA NA NA NA NA 14.18435 38.3595 28.7494 NA 0.15953 NA NA NA NA NA NA 0.09395 365 0.71 714 0.00138772993038098 0.015086658919851 0.0487093214566509 0.0167545103468001 0.95289 0.021447 0.190651 0 0.0120460297912359 87.3657531738281 25 54 35 NA NA NA NA -2913 156.9683
"TARA_010_DCM" "TARA_010" "autumn" "autumn_early" "DCM" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 40.7003 2.873 70 65 75 0.0068 0.0165 0.0063 0.0022 0.003 4e-04 NA NA NA NA NA 14.1012 38.5369 28.903825 NA 0.306994 NA NA NA NA NA NA 0.039449 365 0.86 708 0.00138778088148683 0.0125914473707477 0.0417071028302113 0.0167409076044957 0.92875 0.063913 0.187437 1.027778 0.0158313773572445 76.8147048950195 30 72 41 NA NA NA NA -2270 81.6836
"TARA_010_MIX" "TARA_010" "autumn" "autumn_early" "MIX" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 40.6703 2.8652 97.5 92.5 102.5 0 0.0036 0.00175 4e-04 0 1e-04 NA NA NA NA NA 17.77845 38.6322835 28.042229 NA 0.1849065 NA NA NA NA NA NA 0.2722745 365 0.86 708 0.00138778088148683 0.0125914473707477 0.0417071028302113 0.0167409076044957 0.92875 0.063913 0.187437 1.027778 0.015680365730077 77.1206893920898 30 72 41 NA NA NA NA -2270 81.6836
"TARA_010_SRF" "TARA_010" "autumn" "autumn_early" "SRF" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 40.6433 2.8751 9 3 15 NA NA NA NA NA NA NA NA NA NA NA 23.6849 38.372725 26.292125 NA 0.192964 NA NA NA NA NA NA 13.471943 365 0.86 708 0.00138778088148683 0.0125914473707477 0.0417071028302113 0.0167409076044957 0.82809 0.063913 0.187437 1.027778 0.0156838078983128 77.1284866333008 31 62 45 NA NA NA NA -2270 81.6836
"TARA_010_ZZZ" "TARA_010" "autumn" "autumn_early" "ZZZ" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 40.6496 2.8574 250 0 205 0 0.0036 0.0016 0.00035 0 1e-04 NA NA NA NA NA 13.2127 38.9305 29.416767 NA 0.141296 NA NA NA NA NA NA 0.002313 365 0.86 708 0.00138778088148683 0.0125914473707477 0.0417071028302113 0.0167409076044957 0.87842 0.063913 0.187437 1.027778 0.015680365730077 77.1206893920898 30 68 41 NA NA NA NA -2270 81.6836
"TARA_011_SRF" "TARA_011" "unknown" "unknown_unknown" "SRF" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 41.6686 2.7996 9 3 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 365 1 697 0.00138777471147478 0.00913240884741147 0.0318073155358434 0.0242744355152051 NA NA 0 0 0.0272776391357183 85.0287857055664 NA NA NA NA NA NA NA NA NA
"TARA_011_ZZZ" "TARA_011" "unknown" "unknown_unknown" "ZZZ" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 41.6686 2.7998 15 10 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 365 1 697 0.00138777471147478 0.00913240884741147 0.0318073155358434 0.0242744355152051 NA NA 0 0 0.0272776391357183 85.0287857055664 NA NA NA NA NA NA NA NA NA
"TARA_012_DCM" "TARA_012" "autumn" "autumn_early" "DCM" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)" 43.3346 7.9026 50 48 52 0.0173 0.0806 0.06575 0.02195 0.0096 0.00385 NA NA NA NA NA 13.541833 38.330192 28.862367 198.301417 NA 0.000129 0.001299 0.003002 1.3433 0.160135 0.147308 0.26382 365 0.49 675 0.00138776378783708 0.00987938139587641 0.0196589850820601 0.0213515959912911 0.9422 -1.073011 0.056309 26.416667 0.0188802126795053 77.2863578796387 21 NA 31 29 438 NA 0.311533 -2485 49.5225
